"CA1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population (number of persons) 1/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
11700,"Asheville, NC (Metropolitan Statistical Area)",244960,246263,251104,253306,257291,260984,264807,266999,270770,275655,279654,283635,285988,289085,289822,293506,296586,299050,300229,302741,305480,309502,315160,321240,328220,334878,341739,347921,354052,359909,365159,370615,374904,379818,385178,390713,396408,404546,411842,417457,422014,425462,428387,431983,437267,441782,446840
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",92643,94672,97214,100987,105560,107666,108211,106120,107309,108452,109148,114324,117011,118289,120365,122473,124327,125434,128002,130586,133894,136914,139359,141899,144916,148953,151718,154977,158291,160330,163456,166763,168973,170838,173847,178106,178974,183171,186781,189948,192021,193451,194618,196397,197892,199029,203189
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",1830794,1862083,1923687,1986477,2055233,2109395,2127779,2152893,2194331,2234980,2295738,2352155,2403406,2453618,2516569,2593856,2689442,2784902,2881787,2965367,3033139,3104221,3195398,3291991,3402250,3523718,3644699,3765817,3888398,4021410,4157862,4293475,4402455,4489288,4572541,4659574,4770870,4931848,5066356,5170099,5240828,5303758,5374179,5455324,5523527,5615364,5710795
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",174603,175908,179824,184987,187199,189113,189544,189613,189311,191121,193082,194566,195984,196548,199168,202752,206045,209388,212581,217445,221589,225431,228763,231612,234288,236589,239212,242152,244771,247863,250432,253674,255737,259263,263285,267723,270332,271759,272303,273014,274049,274761,275078,275763,276321,275499,274219
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",55869,61262,61896,62158,64588,68823,69373,69980,71861,74069,75990,76610,77777,79001,79121,80289,81176,82776,82681,84601,85851,87735,89508,91572,94295,96057,99386,102185,106578,109936,112898,115430,116819,118392,120071,122274,126133,129247,131934,134524,138566,140782,144087,147899,151506,154426,156993
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",329558,330105,330340,328410,332508,340794,348901,359074,364786,374244,383370,390476,393411,398117,403081,409893,418761,427630,429399,432054,436235,446200,459773,474398,476818,483333,489089,490788,496030,500636,504895,508896,512626,516818,520120,526789,531294,538643,545524,552627,558096,566568,570891,576560,579957,583338,590146
12420,"Austin-Round Rock, TX (Metropolitan Statistical Area)",382835,401871,419249,447971,473351,485969,497356,517680,532052,538668,571520,589582,605961,633452,668303,707646,758510,793109,807392,817153,831848,851898,880678,912833,949788,988925,1031557,1073037,1111264,1155579,1205898,1264950,1321316,1347822,1376030,1410058,1453358,1515485,1577856,1633870,1682338,1727627,1781409,1835298,1884439,1943465,2000860
12540,"Bakersfield, CA (Metropolitan Statistical Area)",325549,330868,336227,336833,343007,344840,356866,366932,372217,377990,393198,406407,418877,433698,446961,459411,474243,486217,497910,510980,527922,549535,569346,589897,599843,614707,620201,626719,634695,643016,655428,663803,676574,694059,714272,736296,760726,784511,803281,818327,830137,841682,849949,856576,865787,874190,882176
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",2072804,2094838,2132113,2152232,2167899,2179392,2184332,2188964,2201877,2204362,2209160,2203385,2214413,2220748,2228439,2244735,2255970,2285633,2309719,2340870,2360610,2390543,2418136,2440078,2458038,2475364,2490370,2501453,2513492,2525266,2540307,2557958,2575471,2596501,2614232,2630946,2644231,2658162,2667619,2679819,2696018,2715561,2735306,2755992,2773536,2786853,2797407
12620,"Bangor, ME (Metropolitan Statistical Area)",125729,125812,127935,129035,130797,132038,133434,135542,136134,136912,137157,137228,137952,138020,138101,138488,138654,139169,140207,142639,145402,147046,147315,146435,146752,147000,145724,145356,144910,144574,144902,144937,146110,147298,148759,148814,149726,151446,152232,153372,153770,153871,153822,153607,153527,153535,152692
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",94791,97632,99244,99237,111093,123816,129437,133142,138071,140966,146265,148847,152189,154460,157320,162135,166578,171633,176215,181137,184642,187335,189165,191595,194830,198533,202874,206852,210380,214497,218960,223031,224087,225421,226011,224264,221995,220037,218380,217066,215994,215930,215339,214806,214685,214665,214333
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",462710,467187,476302,488967,497516,507687,517996,532769,549090,561187,577630,594659,606705,618386,628340,633436,636971,636761,629017,625135,623372,625305,635197,647179,657226,664462,671247,678500,686021,693072,700767,707589,710731,715379,722274,729774,735507,771940,779796,787767,795897,804309,808469,814757,820106,825499,830480
12980,"Battle Creek, MI (Metropolitan Statistical Area)",141960,141561,140647,141963,142349,143021,142640,142359,142772,143463,142341,141701,141880,139886,137629,135682,134523,134316,134849,134459,135457,136226,136814,137298,137775,137910,137393,136630,136834,137783,138021,138014,138158,138580,138962,139443,138946,138291,137582,137313,136301,136025,135291,134750,134772,134821,134314
13020,"Bay City, MI (Metropolitan Statistical Area)",116323,117502,118513,119094,119824,120548,120441,120560,121500,122057,121074,120037,120401,118804,117330,116677,115017,114267,113959,112898,112061,111804,111803,112182,112397,112025,111680,111231,111040,110704,110295,110192,109836,109861,109559,109453,109165,108711,108132,108320,107913,107695,107497,107121,106958,106256,105659
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",357557,359291,361233,362681,357512,358506,363590,369268,375363,377286,383832,388072,393359,399300,400634,398516,393786,381420,379118,375245,374021,375055,380069,384799,389937,391836,395704,395151,396639,397703,400075,399797,397731,397949,398146,398998,400115,393468,396665,399641,401592,403701,405204,403778,405433,405644,408419
13220,"Beckley, WV (Metropolitan Statistical Area)",119522,119794,122399,126518,128707,129362,132602,138390,142246,144129,145047,144639,144324,144345,144081,142180,140228,137822,133725,129757,125854,124685,124959,125222,126345,126577,127571,128425,128275,127892,127431,126525,125318,125672,125519,125145,124570,124378,124566,124550,124816,124897,125115,124963,124181,123366,122507
13380,"Bellingham, WA (Metropolitan Statistical Area)",80696,82606,85688,89443,89700,91043,93332,96070,98453,101482,104380,107222,109096,109885,110630,111294,112441,113262,115361,119002,123294,129111,133823,138957,143669,147593,151369,155134,158133,160988,164566,167696,171172,174904,177851,181756,185450,188926,192837,196708,199865,201570,203415,204961,206349,208491,212284
13460,"Bend-Redmond, OR (Metropolitan Statistical Area)",29726,30882,32835,34804,37682,40155,42422,44686,47969,53349,58452,62365,63130,63031,62516,63839,64959,66160,66862,68882,71415,76053,80456,84199,88061,91393,95491,99362,102581,106820,111933,116566,120526,125247,129094,133756,140567,148149,152633,156820,157345,157839,159765,161749,165930,170398,175268
